comment_id,comment,post_id
1,ممكن تفاصيل؟,2
2,خاص,2
3,ممكن رقم للتواصل,2
4,او التواصل خاص .,2
5,ممكن رقم التواصل,2
6,الشيمي الدولي 01123355226,2
7,كلمني,2
8,ممكن تواصل خاص,2
9,أنا واخد سيارة من معرض علاء الدين ونخلص الأقساط وحاسب علي فوائد عشرون ألف لأن في وسط الأقساط تم عمل حادث السيارة وانكسار حوالي ستة اقساط وسدتهم كلهم من التأمين بعد إصلاح السيارة ومنهم لله جابوا علي فوائد بعد ما سددت الاقساط,2
10,هل بدون تحويل راتب ولا يشترط التحويل,2
11,سيد على بدون,2
12,ممكن تفاصيل,2
13,اشرف الفقي لو عندك قرض بنسدده يافندم,2
14,تفاصيل,2
15,عبدالعزيز غانم عبدالعزيز حجازى 01123355226,2
16,طيب انا واخده قرض من بنك القاهره وعايزا اسدد واخد مخالصه حياخد فائده اد ايه مني,2
17,ام هاجر 01123355226,2
18,لو هاخد قرض 50000 حاليا هتتحسب الفائدة على كام,2
19,مـمـگن تفصـيـل,2
20,إبراهيم عبدالله 01123355226,2
21,ممكن رقم للتواصل,2
22,ممكن خاص,2
23,طاهر عبد العزيز اتفضل,2
24,تفاصيل,2
25,عبدالعزيز غانم عبدالعزيز حجازى 01123355226,2
26,تلفونك,2
27,لو عايز عربيه ينفع بالاكلام ده. انا معياي عربيه مكروباض,2
28,لوكي كركر لا,2
29,ممكن رقم للتواصل,2
30,تلفوناتك..؟,2
31,ممكن التفاصيل,2
32,طه محمد أبومحمد 01123355226,2
33,إيه إسم البنك ده,2
34,يا فندم عندي قرض عايز اسده بس باين كده ملكوش فرع بالسويس هل ينفع انا منتظم بالسداد وانا صاحب عمل انت فاضلي شهرين واجيب نص المده,2
35,تفاصيل,2
36,أحمد عبدالعال النقادى لو عندك قرض بنسدده,2
37,ايه الأوراق المطلوبه لقرض سياره,2
38,تفاصيل أكثر لوسمحت,2
39,تم,2
40,انا مديون بمبلغ كبير يا ريت حد يساعدني,2
41,انا واخد قرض من بنك القاهرة وبقالى اكتر من سنة بسدد وانا موظف حكومى من ملوى المنيا فهل ممكن تشتروى قرضى واحول مرتبى عليكم,2
42,وياترى اسمك البنك ايه,2
