"comment_id","comment","post_id"
"1","الصفوة لتنمية المهارات","1"
"2","الخصومات لحد امتي ؟","1"
"3","اسماء صالح\nلحد انتهاء المنتجات","1"
"4","فين في مصر الجديده ياريت العنوان بالتفصيل","1"
"5","لو سمحت فاتحين يوم الجمعه والمواعيد ايه","1"
"6","ادوات منتسوري الحسيه متوفره\nالبرج الوردي والسلم الخشبي ؟","1"
"7","هي نسبة الخصم انهي واحدة فيهم","1"
"8","فين فى مصر الجديدة لو سمحت ؟","1"
"9","عبدالله إيهاب قطز لا في 4.5","1"
"10","فين شارع الثوره ده ميدان ايه","1"
"11","اللوكيشن موجود عالصفحه\nاو ابعتي عالوتساب 01001444798","1"
"12","فين في مصر الجديده","1"
"13","الصفوة لتنمية المهاراتممكن اعرف تفاصيل الشحن والتوصيل","1"
"14","ممكن الملف بى دى اف","1"
"15","لو سمحت العرض مازال موجود","1"
"16","لو سمحت العروض لسه متاحه؟؟؟","1"
"17","مش هتعملوا معرض فى اسكندرية قريب","1"
"18","في خدمة توصيل ؟","1"
"19","مش ناويين تيجو قنا","1"
"20","لو سمحت لسه متاح","1"
"21","هو فيه معرض كتاب اليومين دول","1"
"22","راجيه الجنه لا","1"
"23","ممكن اعرف نسبة الخصم تتحسب ازاى و هل لو اختارت اكتر من قطعة الخصم عليهم هيكون كام؟","1"
"24","في فرع في المنيا؟؟!","1"
"25","لا\nفيه خدمه توصيل للمحافظات","1"
"26","المعرض لسه فاتح وآخر ميعاد ليه امتي","1"
"27","والخصم بيكون علي حسب اية يعني امتي اخد خصم ٣٠ ولا ٤٠.....","1"
"28","الصفوة لتنمية المهارات ٦ قطع من نفس النوع ولا مشكل","1"
"29","سعر الشحن للمنيا كام","1"
"30","الكتالوج ده خاص بالمعرض ولا على الالعاب عموما","1"
"31","هو الخصم مستمر لامتى أن شاء الله؟؟","1"
"32","الصفوة لتنمية المهارات شكرا لكم","1"
"33","المعرض لسه متاح؟","1"
"34","لو هشتري قطعه واحدة من كل صنف نسبة الخصم كام","1"
"35","عنوان المعرض","1"
"36","ممكن رقم موبيل اتواصل معاه","1"
"37","قاعة العرض فين و هل لسه متاح ولا انتهى","1"
"38","طيب لو حد اشتري قطعة واحدة وقتها السعر هيكون عليه خصم ولو عليه بيكون كام في الماية","1"
"39","ممكن العنوان بالتفصيل لو هاجي مترو؟","1"
"40","الصفوة لتنمية المهارات آسفة ايه هي ٤,٥","1"
"41","يعني انتم كاتبين هنا الدفع عند الاستلام في حين ان الاوردر بتاعي اتلغي عشان مادفعتش وبعت فاتوره !!!!","1"
"42","هو المعرض بيكون في القاهره بس","1"
"43","بودي بودي يوجد خدمه توصيل","1"
"44","شحن منصورة بكام لوسمحت؟","1"
"45","العرض موجود ولا خلص","1"
"46","ما فيش اسكندرية السنة دي","1"
"47","المعرض مكانه فين","1"
"48","ده للجمله فقط و الا ممكن قطاعي","1"
"49","هل توجد ميداليات","1"
"50","احمد قناوي لا","1"
"51","الشحن للقاهرة بكام","1"
"52","شحن اسوان كام","1"
"53","روان رويدا 50ج تقريبا","1"
"54","هل العروض لسه متوفرة ولا خلصت\nوالخصم اد ايه علي القطعة ولو هشترس اكتر من قطعة الخصم كام","1"
"55","المكان فين بالضبط","1"
"56","اسماء ابراهيم مصر الجديده امتداد شارع الثورة بجوار مستشفي الوطني للعيون","1"
"57","ياريت تلفو المحافظات كمان","1"
"58","فاتحين النهارده","1"
"59","كل يوم معادا الجمعه من ١٠ ل٥","1"
"60","لسه العرض شغال","1"
"61","ياسمين البسيوني متاح يافندم","1"
"62","فين","1"
"63","لو سمحت لو عاوزه قطغه من كذا صنف حيبقي الخصم اه","1"
"64","لو من كل نوع 3 عليهم خصم كام\nوتوصيل الاسكندريه بكام","1"
"65","كريم كارميل 30%\nتوصيل 50ج تقريبا","1"
"66","يعني لو حد اخد ٤ قطع من نوع معين ياخد نسبة خصم ٥٥%؟","1"
"67","حتيجو اسكندريه امته","1"
"68","ممكن الملف pdf","1"
"69","هتيجو اسكندريه","1"
"70","فين فى مصر الجديدة","1"
"71","المستشار وائل الهلالي امتداد شارع الثورة بجوار مستشفي الوطني للعيون","1"
"72","سلام عليكم كنت عايزه حاجات لتعليم الحروف بس الالعاب متفرقه كنت عايزه اشوف كذا لعبه مفيش البومات مجمعه","2"
"73","الصفوة لتنمية المهارات","3"
"74","تفاصيل","3"
"75","اي هو شغول وبكام","3"
"76","بالتوفيق للجميع أن شاء الله","4"
"77","بصراحه الاسعار كويسه جدا ومش غاليه والاسلوب ناس محترمين جدا وزوق جدا","4"
"78","بالتوفيق لدار الصفوة وبعد ما تخلص جولتك عليك برواية فتاة الكوكب فى معرض الإسكندرية للكتاب فى جناح c3 وهى رواية خيال علمى","4"
"79","والاسعار عمله ايه","4"
"80","بالتوفيق ياد. وليد","4"
"81","من الساعه كام","4"
"82","مالك مالك.مدثر مؤمن","4"
"83","خديچة محمود اي رأيك تبقي تشوفي الدنيا هناك وتقوليلي","4"
"84","مروة عبد العظيم يالا بقى","4"
"85","نيفين نيڤين محمد Mahmoud Mohamed Shindy Mohamed Elsayd","4"
"86","المعرض مكتوب عليه الصفوة علشان بس نوصل بسهولة","4"
"87","عندكم صندوق الحروف العربية ( مونتيسوري ) يحتوي علي ٣اشكال من كل شكل لكل حرف اول ووسط واخر الكلام","4"
"88","روبوت حيكون متاحه\nوعدادات يوسي ماس","4"
"89","هل فيه بازل القارات وبازل جسم الانسان التشريحي","4"
"90","مواعيد المعرض","4"
"91","لو سمحت حيكون فيه أدوات مدرسه وكراسات وكشاكيل","4"
"92","لا","4"
"93","ما تيجي نروح\nهند عبدالباري","4"
"94","هنروح امتى Esraa A. Ali","4"
"95","ياجماعة خد راحة هناك بيبيعوا فيه ادوات المدرسة لانش بوكس والفلاسك ولا","4"
"96","لا للاسف","4"
"97","هل متاح عندكم العاب منتسوري","4"
"98","ادم ومالك حلو اوى كنت ع طول بشترى العيال منه العاب تنميه مهارات","4"
"99","ريم وجيه ها يلا بينا","4"
"100","ريم وجيه تشرفونا يافندم","4"
"101","فيه ليجو","4"
"102","اخيرا اسكندريه جهزي نفسك مروة زيتون","4"
"103","ميرفت مرفت امين","4"
"104","سنحيا بالقرآن. Aml Samirتيجو نروح يوم فسحه","4"
"105","زوجي قرة عيني شوفى","4"
"106","يلا بينا aHoda Abdo","4"
"107","المعرض من الساعه كام","4"
"108","اهو لحد عندنا Esraa Said Morsy","4"
"109","فاتحين الجمعه ولا اجازه","4"
"110","لو سمحت مش هتفتحوا تانى فى القاهره ؟","4"
"111","هى الاسعار ايه هناك ؟؟","4"
"112","جيتوا محافظة الغربية","4"
"113","لا لسه","4"
"114","هو المعرض مفتوح الجمعة","4"
"115","موجود عندكم الكمبيوتر التعليمي","4"
"116","الصفوة لتنمية المهارات شكرا","4"
"117","في بازل 3d","4"
"118","تشرفونا جناح الصفوة رقم B17 يوميا من 11ص الى 10 م و الجمعه من 2 الى 11م في ارض كوته للتواصل واتس اب 01001444798","4"
"119","من فضلك المواعيد في المعرض ايه","4"
"120","المواعيد من كام لكام","4"
"121","سالم احمد Hamza Ahmed Rabah Sary\nايه رايكم محتاجين زياره","4"
"122","من فضلك المواعيد امتى","4"
"123","المعرض ليفتح من الساعه كام الي الساعه كام من فضلكم","4"
"124","قاعة المؤتمرات بمدينة نصر؟","6"
"125","ممكن العنوان","6"
"126","معرض اهلا لللمدارس في قاعة المؤتمرات يوميا من 20 حتى 27 اكتوير المعرض الدائم للشركه بمصر للجديدة بمنطقة الماظه بجوار مستشفى الكهرباء من 10 الى 5 يوميا ماعدا الجمعه للتواصل واتس اب 01001444798","6"
"127","العنوان","6"
"128","لو سمحت المعرض هيبقي عارض كل ألعاب المنتسوري\nمحتاجه الرد ضروري","6"
"129","العنوان لو سمحت","6"
"130","معرض اهلا لللمدارس في قاعة المؤتمرات يوميا من 20 حتى 27 اكتوير المعرض الدائم للشركه بمصر للجديدة بمنطقة الماظه بجوار مستشفى الكهرباء من 10 الى 5 يوميا ماعدا الجمعه للتواصل واتس اب 01001444798","6"
"131","في قاعة كام لو سمحت ؟","6"
"132","لو سمحت حتكونوا كوجودين فى معرض الكتاب بالاسكندرية ان شاء الله","6"
"133","مفيش معرض فى الاسكندريه","6"
"134","الخصومات موجوده ف المعرض ده بس\nولا ف الفرع الرئيسي عادي؟","6"
"135","هو المعرض في شهر سبتمبر ولا اكتوبر البوست مكتوب فيه سبتمبر والكومنتات اكتوبر","6"
"136","ممكن العنوان بالتفاصيل","6"
"137","معرض اهلا لللمدارس في قاعة المؤتمرات يوميا من 20 حتى 27 اكتوير المعرض الدائم للشركه بمصر للجديدة بمنطقة الماظه بجوار مستشفى الكهرباء من 10 الى 5 يوميا ماعدا الجمعه للتواصل واتس اب 01001444798","6"
"138","العرض لسه شغال","6"
"139","ياسمين البسيوني متاح يافندم","6"
"140","فين المكان ولحد امتى","6"
"141","الصفوة لتنمية المهارات 27 سبتمبر مش أكتوبر","6"
"142","نروح Emy Mustafa","6"
"143","احمد يحيى أبو خديجة تعالا نروح","6"
"144","عايزين نروح Ahmed Yehia","6"
"145","ممكن اعرف انتو موجودين في انهي صالة في المعرض","6"
"146","هتكونوا موجودين فى معرض اسكندريه الصفوة لتنمية المهارات","6"
"147","لو سمحت عندك لعبه فوبيا الالوان","6"
"148","فين المكان","6"
"149","تحفه","7"
"150","أميرة رضا علي\n\n‎تشرفونا …See More","7"
"151","بكام العلوم والثقافى المصرى والمستورد","7"
"152","يمنتى يمنتى\n\nكل الاسعار مكتوبه قبل و بعد الخصم …See More","7"
"153","ممكن اشترى ادوات معينة ومش لازم المجموعة كلها","7"
"154","نحن من لبنان ممكن نحصل على المجموعة وكم السعر عال$","7"
"155","العرض مستمر لامتي","7"
"156","رفيدة المصرى\nفي منتجات خلصت\nمتتاخريش بالطلب","7"
"157","علبة الالوان. بكام","7"
"158","عايزين بالجمله لمكتبه","7"
"159","كل الاسعار مكتوبه قبل و بعد الخصم\n‏https://cutt.us/pEmfA","7"
"160","لحد امتي العرض","7"
"161","الصفوة لتنمية المهارات بيتم اعتماد الاسعار بعد الخصم الموجود بالموقع","7"
"162","ممكن الطلب من خلال رقم الوتس اب","7"
"163","لحد امتى العرض","7"
"164","الصفوة لتنمية المهارات ممكن رقم الفون بليز","7"
"165","عندكم شحن للسعودية ؟ وكم بيكلف؟","7"
"166","عندكم في ليبيا","7"
"167","الشراء بالعمله الليبيه ؟","7"
"168","يعني لو اخدت عرض\n٥٠٠٠ هاخد كل المناهج","7"
"169","الصفوة لتنمية المهارات لو سمحت حضرتك قصدك بالعرض 5000هاخد كل ادوات منتسورى لكل الاركان","7"
"170","بكم المجموعة كاملة لجميع المناهج و الاعمار","7"
"171","زهرة الحياة\n\nكل الاسعار مكتوبه قبل و بعد الخصم …See More","7"
"172","أم ام البنين...ايه الرحمن..","7"
"173","مريم سليمان عبدالحميد\n\n‎تشرفونا …See More","7"
"174","لوحة الضرب ...ولوحة القسمة سعرهم كام","7"
"175","ازاى أقدر أحصل على عرض ال30أو ال3000 ويأخد 2000؟؟","7"
"176","لبيسوو Nosa Alwerfaly","7"
"177","يقيني بالله شوفي","7"
"178","كل الاسعار مكتوبه قبل و بعد الخصم\n‏https://cutt.us/pEmfA","7"
"179","طب هو المناهج كلها بكام","7"
"180","بافلى ممدوح في حدود 17 الف بدلا من 34 الف","7"
"181","فين المكان","7"
"182","نور عبد الفتاح\nابعت على الوتس أب نبعت لك العنوان و مواعيد العمل\n٠١٠٠١٤٤٤٧٩٨","7"
"183","واصل لليبيا علي كم ❤","7"
"184","اتواصل واتس اب 01001444798","7"
"185","الكلاس كامل جميع الاقسام بكم","7"
"186","كل الاسعار مكتوبه قبل و بعد الخصم\n‏https://cutt.us/pEmfA","7"
